순번,회사명,공장대표주소,업종명,전화번호
1, 나현섬유,"부산광역시 강서구 녹산산단362로 17, 1742-1번지 (송정동)",어망 및 기타 끈 가공품 제조업,051-832-1217
2, 대호,부산광역시 강서구 녹산산단261로60번길 40 (송정동),구조용 금속 판제품 및 공작물 제조업 외 1종,미등록
3, 빵내음주식회사,부산광역시 강서구 낙동북로138번길 17-1 (강동동),빵류 제조업,미등록
4, 주식회사 케이앤에프트레이드,"부산광역시 강서구 미음산단3로 88(미음동, (주)한국비철 부산지점)",그 외 기타 특수목적용 기계 제조업,02-333-4363
5,(사)골든장애인협회 사업단,"부산광역시 사하구 보덕포1길 100, B동, 지하1층 (장림동)",기타 음향기기 제조업 외 6종,051-311-1791
6,(사)골든장애인협회사업단,"부산광역시 사상구 새벽로121번길 21, 2층 (감전동)",배전반 및 전기 자동제어반 제조업 외 7종,051-464-1791
7,(사)부산16개구군장애인법인연합회,부산광역시 사상구 장인로37번길 13-13(감전동),배전반 및 전기 자동제어반 제조업 외 2종,051-552-1597
8,(사)부산고등어식품전략사업단,부산광역시 서구 원양로 242 (암남동),기타 수산동물 가공 및 저장 처리업,051-714-7140
9,(사)부산광역시부산진구장애인협회 희망피복사업소,"부산광역시 북구 기찰로 181-7, 2층(만덕동, 광덕물산)",편조의복 제조업 외 6종,051-338-5556
10,(사)친환경복지가로누리,부산광역시 기장군 정관읍 곰내길 603-30,"치약, 비누 및 기타 세제 제조업",051-900-0880
11,(사)하나복지회 피복사업장,"부산광역시 사하구 다대로354번안길 20, 2층(장림동)",남자용 겉옷 제조업 외 24종,051-262-6911
12,(사)한국신체장애인복지회봉제사업부,"부산광역시 사상구 사상로 415, 3층(모라동, (주)제이드엠)",남자용 겉옷 제조업 외 13종,051-363-9392
13,(사)한국장애인공존협회,"부산광역시 기장군 정관읍 예림1로 82, 주2",전구 및 램프 제조업 외 2종,051-521-8815
14,(사)한국장애인공존협회 정관지점,부산광역시 기장군 정관읍 예림1로 82,직물포대 제조업 외 2종,051-521-8815
15,(사)한국장애인녹색재단 녹색섬유사업단,"부산광역시 북구 구만덕로60번길 52, 3층(만덕동)",침구 및 관련제품 제조업 외 12종,051-332-3002
16,(사)한국장애인녹색재단 녹색섬유사업단,"부산광역시 북구 만덕2로44번길 72, 106동비01호 (만덕동, 대성종합상가)",침구 및 관련제품 제조업,051-332-3002
17,(사)한국장애인자립협회,부산광역시 강서구 체육공원로52번길 84-1 (대저1동),위생용 종이제품 제조업,051-959-4511
18,(사복)영광직업재활원,부산광역시 해운대구 삼어로91번길 11 (반여동),기타 편조의복 액세서리 제조업,051-523-5421
19,(유)고려금속,부산광역시 강서구 상덕로49번길 135 (강동동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1종,051-972-0813
